repo_id,ann_id,start,end,length,span_length_bucket,verdict,primary_signals_met,num_lines,meter_stdev,is_regular_meter,has_trailing_quote_marker_bonus,trailing_text_preview,ends_cleanly,span_text
P000259,5e0af8c118e04e46921abf380312f57e,25231,25350,119,long,LIKELY_OK,2,7,0.0,True,True,"།
ཞེས་གསུངས་ཏེ། དེ་ལ",True,རྐྱེན་གཞན་དག་དང་ལྡན་པ་ན། ། མཐོང་ཕྱིར་རང་ཉིད་རང་གསལ་ན། ། གྲུབ་པའི་མིག་སྨན་སྦྱོར་བ་ལས། ། བུམ་མཐོང་མིག་སྨན་ཉིད་འགྱུར་མིན། 
I85C28EDA,5535858f8e594545b3345db1cc61b5a1,164667,165693,1026,long,AMBIGUOUS,1,46,0.2,True,True,"།
ཅེས་པ་འདི་ནི་དཔེ་ས",False,འཇམ༵་མགོໆན་ཆོ༵ས་ཀྱི༵་སེངྒེ༵འི་ཐུགས་བསྐྱེད་ཀྱི། ། ལྷ་ལམ་ཡངས་པོར་ཤར་བའི་གསུང༵་རབ༵་ཀྱི། ། མཛོ༵ད་ཁ༵ང་ཡིໆག་གསོ༵ག་དཔེໆ་སྐྲུ༵ན་སྡེ༵་ཚ༵ན་ཞེས། ། ཆ་ཤས་རྫོགས་པའི་ཉིན་བྱེད་དཀྱིལ་འཁོར་ལས། ། སྔོན་བྱོན་སྒྲུབ་པའི་ཁྱུ་ཚོགས་གཤེགས་པའི་ཤུལ། ། སྒྲུབ༵་ཐབ༵ས་གད༵མས་ང༵ག་མ་ལུས་ཕྱོག༵ས་བསྒྲིໆགས་ཀྱིས། ། སྒྲུབ༵་པ༵འི་ཐེམ༵་སྐ༵ས་ཞེས་པའི་དཔེໆ་དེ༵བ་ཀྱི། ། འོད་ཟེར་ཕྲེང་བ་བསྟན་འགྲོའི་དཔལ་དུ་འཕྲོས། ། འདི་མཐུས་བདག་སོགས་སྒྲུབ་བརྒྱུད་གྲལ་མཐའ་རུ། ། འཁོད་ཀུན་རིགས་ཀྱི་འདབ་སྟོང་བཞད་པ་ཡིས། ། སྐལ་ལྡན་གདུལ་བྱ་ར་ཡིག་གཉིས་པའི་ཚོགས། ། འདུས་ཤིང་གདམས་པའི་སྦྲང་རྩིར་རོལ་བྱས་ཏེ། ། སོ་སོར་གྱེས་ཤིང་སྒྲུབ་པའི་བསྟི་གནས་ཀུན། ། སྒྲུབ་པའི་སྦྲང་ཚང་བཅས་ཤིང་སྒོམ་པས་སྤྱོད། ། རྟོགས་པའི་ལུས་སྟོབས་རྒྱས་ཤིང་ཐབས་ཤེས་ཟུང༌། ། གཤོག་རྩལ་རྒྱས་པའི་རྣལ་འབྱོར་སྦྲང་མ་ཡིས། ། ཡོངས་སུ་གཏམས་ཏེ་མི་མཇེད་འཇིག་རྟེན་ཡང༌། ། དག་པ་མཁའ་སྤྱོད་ཞིང་གི་མཆེད་ཟླར་འགྱུར། ། གདུལ་བྱའི་མཁའ་ལ་ཕྲིན་ལས་འཕུར་ལྡིང་གིས། ། ངེས་དོན་ནཱ་དའི་སྒྲ་དབྱངས་ཕྱོགས་མཐར་སྒྲོག། འགྲོ་ཀུན་སེམས་རྒྱུད་སྨིན་ཅིང་གྲོལ་བའི་མཐུས། ། དུག་ལྔ་ཡེ་ཤེས་ལྔ་དང་ལམ་རྒྱུད་ལྔ། ། རིགས་ལྔའི་ཞིང་དུ་རང་སར་དག་གྱུར་ནས། ། འཁོར་བ་དོང་སྤྲུགས་ཕྲིན་ལས་ཡོངས་རྫོགས་ཤོག 
I1637B774,81080b57e3c442538c1ca1e0483692ab,15147,15150,3,very_short,FLAG_FOR_REVIEW,0,1,,False,False,་རྒྱུ་ནི་ཅིར་ཡང་མེད་,False,དྲན
IB522F095,d3e428a2804b420296f47872c262483a,155815,155823,8,very_short,FLAG_FOR_REVIEW,0,1,,False,False,་གྱི་སངས་རྒྱས་ཀུན་ལ་,False,དུས་གསུམ
I9FF2B59B,aca0e2a462be4224932861c9b5d16212,116337,116347,10,very_short,FLAG_FOR_REVIEW,0,1,,False,False,་ཆེན་པོ་དེ་ལྟ་བུ་དང་,False,མི་ལུས་དོན
I9D9C7AC9,28f0654d64fc48fd95d481efa67ad73c,13661,13686,25,short,FLAG_FOR_REVIEW,0,1,,False,False,་ནས། ༧ཇོ་ནང་རྒྱལ་བསྟ,False,གཞན་སྟོང་འཇིགས་མེད་གུ་ཡངས
I881A57E8,bc9aed06b30a4854b0aeef2d89f7a448,67807,67816,9,very_short,FLAG_FOR_REVIEW,0,1,,False,False,་པར་རིག་པས་བླང་དོར་བ,False,དང་ནི་རྣམ
I6D11E414,5fd0b693ab244ec092f882fb4e9ee418,177402,177427,25,short,LIKELY_OK,2,1,,True,False,"།
བསྟན་བཅོས་འདིར་བསླ",True,བླ་མ་ཡོངས་སུ་མཉེས་པར་བྱ། 
P000151,fbba1c269a9840a2b023a057079e35ab,266613,266706,93,typical,AMBIGUOUS,1,5,2.05,False,False,བདུད་རྣམས་ཀུན་གྱིས་མ,True,། ཞེས་སོགས་ཟང་ཟིང་གི་སྦྱིན་པའི་ཕན་ཡོན་དང༌། རིན་ཆེན་ཕྲེང་བ་ལས། འཇིགས་ལ་མི་འཇིགས་བྱིན་པ་ཡིས། ། 
I6D11E414,25cda97b790e467892518c3589d6154a,21155,21181,26,short,LIKELY_OK,2,1,,True,False,"།
དེ་དང་དེ་ནི་བླ་མར་",True,ཤིན་ཏུ་ཁྱད་པར་གྱུར་པ་ཉིད། 
P000195,77e3f461a685453eabba1315f353a6f5,207089,207091,2,very_short,FLAG_FOR_REVIEW,0,1,,False,True,ཞེས་པ་ནས། མཆོག་ཐོབ་འ,False,ི་
IF7A04537,b66738f1d2714611a7115ffdc852e5d1,60236,60450,214,long,LIKELY_OK,2,13,0.0,True,True,"།
ཞེས་བྱུང༌། དེ་ཡང་ས",True,དེ་ཡང་མཚན་ཉིད་གསུམ་ཡིན་ཏེ། ། ཀུན་བཏགས་གཞན་དབང་ཡོངས་གྲུབ་བོ། ། ཡང་ན་ཀུན་རྫོབ་དོན་དམ་གཉིས། ། གཞན་དུ་རང་མཚན་སྤྱི་མཚན་གཉིས། ། སྒྲ་ཡི་དངོས་ཡུལ་ཡིན་མིན་གཉིས། ། འདྲ་བ་ཐུན་མོང་ཡིན་མིན་གཉིས། ། ཟག་བཅས་ཟག་མེད་གཉིས་སོགས་དབྱེ། 
I1637B774,518c3ec589b6421cbee6087773409e51,24411,24425,14,very_short,FLAG_FOR_REVIEW,0,1,,False,False,་སྤྲོས་པ་དང་བྲལ་བར། ,False,ཆོས་ཀྱི་དབྱིངས
I1637B774,c9d4ce569bef4e9bba3cd09618bc3280,21444,21452,8,very_short,FLAG_FOR_REVIEW,0,1,,False,False,། ཕྲག་དོག་རྣམ་རྟོག་ས,False,འཐབ་རྩོད
I6D11E414,1dab81100d974173b6fd49f72aff04b0,85313,85341,28,short,LIKELY_OK,2,1,,True,False,"།
བླ་མའི་སྡུག་པའང་བླ",True,བླ་མའི་རྫས་ནི་སྲོག་ཇི་བཞིན། 
I9CB71958,cd1458a93a644e4caa932d8269d38f45,17068,17088,20,short,FLAG_FOR_REVIEW,0,1,,False,False,་སོགས། ཚིག་རྐང་དགུས་,False,མཐུན་རྐྱེན་འཛོམས་ཤིང
I9FF2B59B,984c30cb7c194651a89062e2d9f792b9,63438,63456,18,short,FLAG_FOR_REVIEW,0,1,,False,False,་པར་མཛད་དེ་བཞུགས་པ། ,False,ལ་སྐུའི་རྒྱབ་བརྟེན
P000081,8cbd7f69d83c4a3cbd5c953a4aea4d25,309841,309958,117,long,LIKELY_OK,2,7,0.0,True,True,"།
ཞེས་པས་བསྟན་ཏེ། དེ",True,དེ་ལྟར་ཡོན་ཏན་དེ་དག་དང༌། ། རྟག་ལྡན་བྱང་ཆུབ་སེམས་དཔའ་ནི། ། རང་གི་དོན་ཡང་མི་འདོར་ཞིང༌། ། གཞན་གྱི་དོན་ཡང་སྒྲུབ་པར་བྱེད། 
P000207,40f60b4460344b99bb7ab25740954a1c,92705,92820,115,long,LIKELY_OK,2,6,0.0,True,False,གྲོང་དུ་རྒྱུ་བའི་ལྟུ,True,ྲོང་གཞན་རྒྱུ་དང་ནུབ་འགྲོ་ཁྱད་དུ་གསོད། ། ཁབ་རལ་ཁྲི་རྐང་ཤིང་བལ་གདིང་གཡན་དགབ། ། རས་ཆེན་ཆོས་གོས་ཚད་ལྷག་ལྟུང་བྱེད་སྡེ། །
I1637B774,5319931431744f968ee049faac61fe4d,16901,16924,23,short,AMBIGUOUS,1,1,,True,False,༔ མེད་བཞིན་དུ་སྣང་བ་,False,ཞེན་པ་ཕྲ་མོར་སྐྱེས་པ་ལས
