pecha_id,split,category,a_start,a_end,b_start,b_end,b_len,b_overlaps_quotation_gold,gap,b_head
I0FCFA88F,test,named_source,144524,144640,144665,144784,119,4,།⏎ཞེས་དང༌། མགོན་པོ་ཀླུས།⏎,རྒྱལ་བ་རྣམས་ཀྱིས་ཆོས་བསྟན་པ། །⏎བདེན་པ་གཉ
I0FCFA88F,test,named_source,144665,144784,144815,144924,109,4,།⏎ཞེས་དང༌། དཔལ་ཀྱེ་རྡོ་རྗེ་ལས།⏎,སངས་རྒྱས་ཀུན་གྱི་སྡོམ་པ་ནི། །⏎ཨེ་ཝཾ་རྣམ་
I0FCFA88F,test,named_source,145901,145993,146015,146105,90,3,།⏎ཞེས་དང༌། རྗེ་མི་ལས།⏎,སྒྲོ་འདོགས་ནང་ནས་ཆོད་པ་ལ། །⏎མཐའ་བྲལ་གྱི་
I0FCFA88F,test,named_source,146015,146105,146144,146290,146,4,།⏎ཞེས་དང༌། ཀུན་མཁྱེན་རང་བྱུང་རྡོ་རྗེས།⏎,བཟང་ཞེན་ཉམས་ཀྱི་འཛིན་པ་རང་སར་གྲོལ། །⏎ངན་
I0FCFA88F,test,named_source,146144,146290,146341,146452,111,3,ཅེས་དང༌། འཇམ་མགོན་ཀོང་སྤྲུལ་རིན་པོ་ཆེས་འདི་ཉིད་ལས།⏎,སྣང་བཞིན་ངོ་བོ་མ་གྲུབ་སྟོང་པ་ཉིད། །⏎སེམས
I0FCFA88F,test,named_source,183023,183182,183222,183285,63,0,།⏎ཞེས་དང༌། མཁའ་འགྲོ་མ་རྡོ་རྗེའི་གུར་ལས།⏎,རིན་ཆེན་སེམས་ལས་ཕྱིར་གྱུར་པའི། །⏎སངས་རྒྱ
I0FCFA88F,test,unclear,209945,210059,210075,210178,103,0,།⏎ཞེས་དང༌། ཡང༌།⏎,གང་ཚེ་དངོས་དང་དངོས་མེད་དག⏎བློ་ཡི་མདུན་ན་
I0FCFA88F,test,named_source,210075,210178,210214,210316,102,0,།⏎ཞེས་དང༌། རྒྱུད་བླ་དང་ཤེར་ཕྱིན་ལས།⏎,འདི་ལ་བསལ་བྱ་ཅི་ཡང་མེད། །⏎གཞག་པར་བྱ་བ་ཅུ
ICDC84458,test,unclear,48584,48693,48739,48851,112,4,།⏎ཞེས་དང༌། ནམ་མཁའི་ཁམས་སུ་བྷ་ག་བསམ། །ཞེས་དང༌།⏎,ནམ་མཁའི་ཁམས་ནི་པདྨ་ལ། །⏎བྷ་ག་ཞེས་བྱ་ཡེ་ཤ
ICDC84458,test,named_source,149286,149522,149548,149873,325,11,།⏎ཞེས་དང༌། སྡོམ་འབྱུང་ལས།⏎,དངོས་མེད་དངོས་པོ་ལ་བརྟེན་ནས། །⏎བརྟེན་པ་མ
I2133CA39,train,named_source,280921,281144,281171,281257,86,0,།⏎ཞེས་དང༌། ཡེ་ཤེས་ཐིག་ལེར།⏎,ཤིན་ཏུ་དབྱངས་ནི་སྙན་པ་ཡིས། །⏎ཡིད་འཕྲོག་པ
I2133CA39,train,named_source,288022,288149,288183,288277,94,0,།⏎ཅེས་དང༌། རྡོ་རྗེ་སྙིང་འགྲེལ་དུ།⏎,སྔགས་ཀྱིས་ལྷ་ཀུན་འགྲུབ་འགྱུར་ཏེ། །⏎སྔགས་
I25463E37,train,unclear,67406,67444,67494,67533,39,0,།⏎འཁོར་བ་འདིར་གནས་ཐར་པ་ཐོབ་མི་འགྱུར། །ཞེས་པ་དང༌། ⏎,ཕུན་ཚོགས་མ་ཡིན་ཕུན་ཚོགས་བརྟན་པའི་སེམས། །
I25463E37,train,unclear,73791,73832,73891,73926,35,1,།⏎འབྲས་བུ་ལམ་དུ་ཁྱེར་ནས་གདོད་ནས་འབྲས་བུར་གནས། །ཞེས་པ་དང༌། ⏎,ཡང་སེམས་ནི་ངོ་བོ་ཉིད་ཀྱིས་དག་པས་ན༑ ༑⏎དེ་
I2D96E5C8,train,named_source,143507,143633,143672,143787,115,0,།⏎ཞེས་དང༌། པདྨ་བཛྲ་གྱིས་གསང་བ་གྲུབ་པར།⏎,ལས་ཀྱི་ཕྱག་རྒྱ་ཁྲོ་སྒྱུ་ཅན། །⏎ཡེ་ཤེས་ཕྱག
I2D96E5C8,train,named_source,143672,143787,143847,143964,117,0,།⏎ཞེས་དང༌། འཇམ་དཔལ་གྱིས་རང་གི་ལྟ་བའི་འདོད་པ་མདོར་བསྟན་པ་ལས།⏎,ལས་ཀྱི་ཕྱག་རྒྱ་གཡོན་ཅན་གདུག །⏎ཡེ་ཤེས་ཕྱག
I587B7DED,train,named_source,5169,5276,5309,5459,150,4,།⏎ཅེས་དང༌། མདོ་སྡེ་རྒྱན་ལས་ཀྱང༌།⏎,ཡོན་མིན་མེད་མིན་དེ་བཞིན་མིན་གཞན་མིན། །⏎ས
